Почти все возможности взаимодействия с игрой в MoonLoader реализованы посредством эмуляции опкодов, которые используются в игре для программирования миссий. Многие опкоды не вошли в релиз MoonLoader с самой первой версии, часть вошедших опкодов позже была заменена встроенными реализациями в обновлениях.
Следующая таблица содержит все опкоды игры, где каждому опкоду соответствует его аналог в Lua и комментарий о различиях или причинах отсутствия.
Отсутствие пояснения к опкоду в третьей колонке означает, что Lua функция напрямую эмулирует опкод игры без каких-либо изменений в поведении.

Опкод	Lua	Пояснение
06AD	setGroupDecisionMaker(int group, int maker)	
06AE	int maker = loadGroupDecisionMaker(int type)	
06AF	disablePlayerSprint(Player player, bool mode)	
06B0	taskSitDown(Ped ped, int timeMS)	
06B1	Searchlight searchlight = createSearchlight(float atX, float atY, float atZ, float targetX, float targetY, float targetZ, float radius1, float radius2)	
06B2	deleteSearchlight(Searchlight searchlight)	
06B3	bool result = doesSearchlightExist(Searchlight searchlight)	
06B4	moveSearchlightBetweenCoords(Searchlight searchlight, float fromX, float fromY, float fromZ, float toX, float toY, float toZ, float speed)	
06B5	pointSearchlightAtCoord(Searchlight searchlight, float toX, float toY, float toZ, float speed)	
06B6	pointSearchlightAtChar(Searchlight searchlight, Ped ped, float speed)	
06B7	bool result = isCharInSearchlight(Searchlight searchlight, Ped ped)	
06B9	bool result = hasCutsceneLoaded()	
06BA	taskTurnCharToFaceCoord(Ped ped, float atX, float atY, float atZ)	
06BB	taskDrivePointRoute(Ped ped, Vehicle car, float speed)	
06BC	fireSingleBullet(float fromX, float fromY, float fromZ, float targetX, float targetY, float targetZ, int energy)	
06BD	bool result = isLineOfSightClear(float fromX, float fromY, float fromZ, float toX, float toY, float toZ, bool checkBuildings, bool checkVehicles, bool checkActors, bool checkObjects, bool checkParticles)	
06BE	float roll = getCarRoll(Vehicle car)	
06BF	pointSearchlightAtVehicle(Searchlight searchlight, Vehicle car, float speed)	
06C0	bool result = isVehicleInSearchlight(int int, Vehicle car)	
06C1	Searchlight searchlight = createSearchlightOnVehicle(Vehicle car, float offsetX, float offsetY, float offsetZ, float targetX, float targetY, float targetZ, float radius, float radius)	
06C2	taskGoToCoordWhileAiming(Ped ped, float toX, float toY, float toZ, int mode, float turnRadius, float stopRadius, Ped ped, float offsetX, float offsetY, float offsetZ)	
06C3	int num = getNumberOfFiresInRange(float atX, float atY, float atZ, float radius)	
06C4	Marker marker = addBlipForSearchlight(Searchlight searchlight)	
06C5	skipToEndAndStopPlaybackRecordedCar(Vehicle car)	
06C6		[1:114]
06C7	taskCarTempAction(Ped ped, Vehicle car, int performAction, int timelimit)	
06C8	setLaRiots(bool enable)	
06C9	removeCharFromGroup(Ped ped)	
06CA	attachSearchlightToSearchlightObject(Searchlight searchlight, int tower, int housing, int bulb, float offsetX, float offsetY, float offsetZ)	
06CB		[1:115]
06CE		[1:116]
06CF		[1:117]
06D0	switchEmergencyServices(bool enable)	
06D1		[3:25]
06D2		[3:26]
06D5	Checkpoint checkpoint = createCheckpoint(int type, float atX, float atY, float atZ, float pointX, float pointY, float pointZ, float radius)	
06D6	deleteCheckpoint(Checkpoint checkpoint)	
06D7	switchRandomTrains(bool enable)	
06D8	Vehicle train = createMissionTrain(int type, float atX, float atY, float atZ, bool direction)	
06D9	deleteMissionTrains()	
06DA	markMissionTrainsAsNoLongerNeeded()	
06DB	deleteAllTrains()	
06DC	setTrainSpeed(Vehicle train, float speed)	
06DD	setTrainCruiseSpeed(Vehicle train, float speed)	
06DE	int caboose = getTrainCaboose(Vehicle train)	
06DF	deletePlayer(Player player)	
06E0	setTwoPlayerCameraMode(bool mode)	
06E1	taskCarMission(Ped ped, Vehicle car, int targetCar, int order, float maxSpeed, int trafficFlag)	
06E2	taskGoToObject(Ped ped, int toObject, int timelimit, float stopWithinRadius)	
06E3	taskWeaponRoll(Ped ped, bool roll)	
06E4	taskCharArrestChar(Ped ped, int bustActor)	
06E5	Model itemID = getAvailableVehicleMod(Vehicle car, int poolIndex)	
06E6	int type = getVehicleModType(Model component)	
06E7	int componentId = addVehicleMod(Vehicle car, Model component)	
06E8	removeVehicleMod(Vehicle car, int componentId)	
06E9	requestVehicleMod(Model component)	
06EA	bool result = hasVehicleModLoaded(Model component)	
06EB	markVehicleModAsNoLongerNeeded(Model component)	
06EC	int num = getNumAvailablePaintjobs(Vehicle car)	
06ED	giveVehiclePaintjob(int set, int paintjob)	
06EE	bool result = isGroupMember(Ped ped, int group)	
06EF	bool result = isGroupLeader(Ped ped, int group)	
06F0	setGroupSeparationRange(int group, float range)	
06F1	limitTwoPlayerDistance(float distance)	
06F2	releaseTwoPlayerDistance()	
06F3	setPlayerPlayerTargetting(bool can)	
06F4		[1:118]
06F5	float X, float Y, float Z = getScriptFireCoords(int fire)	
06F6		[1:119]
06F7		[1:120]
06F8	float X, float Y, float Z, float ZAngle = getNthClosestCarNodeWithHeading(float forX, float forY, float forZ, int direction)	
06F9		[1:121]
06FA	setPlayersCanBeInSeparateCars(bool allow)	
06FB		[1:122]
06FC	bool result = doesCarHaveStuckCarCheck(Vehicle car)	
06FD	setPlaybackSpeed(Vehicle car, float speed)	
06FE		[1:123]
06FF	bool result = areAnyCharsNearChar(Ped ped, float range)	
0700		[1:124]
0701	skipCutsceneEnd()	
0702	int percentage = getPercentageTaggedInArea(float x1, float y1, float x2, float y2)	
0703	setTagStatusInArea(float x1, float y1, float x2, float y2, bool value)	
0704	carGotoCoordinatesRacing(Vehicle car, float toX, float toY, float toZ)	
0705	startPlaybackRecordedCarUsingAi(Vehicle car, int path)	
0706	skipInPlaybackRecordedCar(Vehicle car, float path)	
0707		[3:27]
0708	clearCharDecisionMakerEventResponse(int maker, int event)	
0709	addCharDecisionMakerEventResponse(int maker, int event, int taskID, float respect, float hate, float like, float dislike, bool inCar, bool onFoot)	
070A	taskPickUpObject(Ped ped, Object object, float offsetX, float offsetY, float offsetZ, int boneId1, int boneId2, string performAnimation, int IFPFile, int time)	
070B	dropObject(Ped ped, bool object)	
070C	explodeCarInCutscene(Vehicle car)	
070D	buildPlayerModel(Player player)	
070E	planeAttackPlayer(int hydra, Vehicle car, float radius)	
070F	planeFlyInDirection(int plane, float direction, float altitudemin, float altitudemax)	
0710	planeFollowEntity(int plane, Ped ped, Vehicle car, float radius)	
0711		[1:125]
0712		[1:126]
0713	taskDriveBy(Ped ped, int drivebyActor, Vehicle car, float pX, float pY, float pZ, float radiusX, int radiusY, bool radiusZ, int firingRate)	
0714	setCarStayInSlowLane(Vehicle car, bool stay)	
0715	takeRemoteControlOfCar(Player player, Vehicle car)	
0716	bool result = isClosestObjectOfTypeSmashedOrDamaged(Model object, float atX, float atY, float atZ, float radius, bool smashed, bool damaged)	
0717	startSettingUpConversation(Ped ped)	
0718		[1:127]
0719	finishSettingUpConversation()	
071A	bool result = isConversationAtNode(Ped ped, GxtString gxtString)	
071B		[1:128]
071C		[1:129]
071D		[1:130]
071E	int health = getObjectHealth(Object object)	
071F	setObjectHealth(Object object, int health)	
0720		[1:131]
0721		[1:132]
0722		[1:133]
0723	breakObject(Object object, int intensity)	
0724	heliAttackPlayer(Vehicle heli, Player player, float radius)	
0725		[1:134]
0726	heliFollowEntity(Vehicle heli, Ped ped, Vehicle car, float radius)	
0727	policeHeliChaseEntity(Vehicle heli, Ped ped, Vehicle car, float radius)	
0728		[1:135]
0729	taskUseMobilePhone(Ped ped, bool hold)	
072A	taskWarpCharIntoCarAsDriver(Ped ped, Vehicle car)	
072B	taskWarpCharIntoCarAsPassenger(Ped ped, Vehicle car, int passengerseat)	
072C	switchCopsOnBikes(bool generate)	
072D	bool result = isFlameInAngledArea2d(float x1, float y1, float x2, float y2, float angle, bool sphere)	
072E	bool result = isFlameInAngledArea3d(float x1, float y1, float z1, float x2, float y2, float z2, float angle, bool sphere)	
072F	addStuckCarCheckWithWarp(Vehicle car, float checkDistance, int time, bool stuck, bool flipped, bool warp, int path)	
0730	damageCarPanel(Vehicle car, int door)	
0731	setCarRoll(Vehicle car, float roll)	
0732	bool result = suppressCarModel(Model modelId)	
0733	dontSuppressCarModel(Model modelId)	
0734	dontSuppressAnyCarModels()	
0735	bool result = isPs2KeyboardKeyPressed(int key)	
0736	bool result = isPs2KeyboardKeyJustPressed(int key)	
0737	bool result = isCharHoldingObject(Ped ped, int liftingObject)	
0738		[1:136]
0739		[1:137]
073A		[1:138]
073B	setCarCanGoAgainstTraffic(Vehicle car, bool can)	
073C	damageCarDoor(Vehicle car, int door)	
073D		[1:139]
073E	Vehicle car = getRandomCarInSphereNoSave(float X, float Y, float Z, float radius, int model)	
073F	Ped ped = getRandomCharInSphere(float X, float Y, float Z, float radius, bool pedtypeCivilian, bool gang, bool prostitute)	
0740		[1:140]
0741	bool result = hasCharBeenArrested(Ped ped)	
0742	setPlaneThrottle(int plane, float throttle)	
0743	heliLandAtCoords(Vehicle heli, float X, float Y, float Z, float minaltitude, float maxaltitude)	
0744		[1:141]
0745	planeStartsInAir(int hydra)	
0746	setRelationship(int acquaintance, int pedtype, int toPedtype)	
0747	clearRelationship(int acquaintance, int pedtype, int toPedtype)	
0748		[1:142]
0749	clearGroupDecisionMakerEventResponse(int maker, int event)	
074A	addGroupDecisionMakerEventResponse(int maker, int event, int taskID, float respect, float hate, float like, float dislike, bool inCar, bool onFoot)	
074B	drawSpriteWithRotation(int texture, float x, float y, float scaleX, float scaleY, float angle, int r, int g, int b, int a)	
074C	taskUseAttractor(Ped ped, int attractor)	
074D	taskShootAtChar(Ped ped, int atActor, int timelimit)	
074E	setInformRespectedFriends(int flags, float radius, int pedsToScan)	
074F	bool result = isCharRespondingToEvent(Ped ped, int event)	
0750	setObjectVisible(Object object, bool visibility)	
0751	taskFleeCharAnyMeans(Ped ped, int fleeFrom, float runDistance, int time, bool changeCourse, int unkTime1, int unkTime2, float awayRadius)	
0752		[1:143]
0754	flushPatrolRoute()	
0755	extendPatrolRoute(float X, float Y, float Z, string animation, string IFPFile)	
0758		[1:144]
0759		[1:145]
075A	bool result = playObjectAnim(Object object, string animation, string IFPFile, float framedelta, bool lockF, bool loop)	
075B	setRadarZoom(int zoom)	
075C	bool result = doesBlipExist(Marker marker)	
075D	loadPrices(GxtString shopping)	
075E	loadShop(GxtString shopping)	
075F	int num = getNumberOfItemsInShop()	
0760	int item = getItemInShop(int index)	
0761	int price = getPriceOfItem(int item)	
0762	taskDead(Ped ped)	
0763	setCarAsMissionCar(Vehicle car)	
0764		[1:146]
0765		[1:147]
0766		[1:148]
0767	setZonePopulationType(GxtString zone, int popcycle)	
076A	setZoneDealerStrength(GxtString zone, int density)	
076B	int strength = getZoneDealerStrength(GxtString zone)	
076C	setZoneGangStrength(GxtString zone, int gang, int density)	
076D	int density = getZoneGangStrength(GxtString zone, int gang)	
076E		[1:149]
076F	bool result = isMessageBeingDisplayed()	
0770	setCharIsTargetPriority(Ped ped, bool targetPriority)	
0771	customPlateDesignForNextCar(Model modelNumplate, int townTexture)	
0772	taskGotoCar(Ped ped, Vehicle car, int timeMS, float stopAtDistance)	
0773		[1:150]
0774		[1:151]
0775		[1:152]
0776	requestIpl(string group)	
0777	removeIpl(string group)	
0778	removeIplDiscreetly(string group)	
0779		[1:153]
077A	setCharRelationship(Ped ped, int acquaintance, int pedtype)	
077B	clearCharRelationship(Ped ped, int acquaintance, int pedtype)	
077C	clearAllCharRelationships(Ped ped, int acquaintance)	
077D	float pitch = getCarPitch(Vehicle car)	
077E	int interior = getActiveInterior()	
077F		[1:154]
0780	heliKeepEntityInView(Vehicle heli, Ped ped, Vehicle car, float minaltitude, float maxaltitude)	
0781	int model = getWeapontypeModel(int id)	
0782	int slot = getWeapontypeSlot(int id)	
0783	int info = getShoppingExtraInfo(int item, int flag)	
0784	givePlayerClothes(Player player, int texture, int model, int bodypart)	
0785		[1:155]
0786	int num = getNumberOfFiresInArea(float x1, float y1, float z1, float x2, float y2, float z2)	
0787		[1:156]
0788	attachWinchToHeli(Vehicle heli, bool magnet)	
0789	releaseEntityFromWinch(Vehicle heli)	
078A	int carriage = getTrainCarriage(Vehicle train, int handle)	
078B	Vehicle carHandle, Ped pedHandle, Object objectHandle = grabEntityOnWinch(Vehicle heli)	
078C	GxtString name = getNameOfItem(int item)	
078D		[1:157]
078E		[1:158]
078F	taskClimb(Ped ped, bool climb)	
0790	buyItem(int item)	
0791		[1:159]
0792	clearCharTasksImmediately(Ped ped)	
0793	storeClothesState()	
0794	restoreClothesState()	
0795		[1:160]
0796	float length = getRopeHeightForObject(int magnet)	
0797	setRopeHeightForObject(int magnet, float length)	
0798	Vehicle carHandle, Ped pedHandle, Object objectHandle = grabEntityOnRopeForObject(int magnet)	
0799	releaseEntityFromRopeForObject(int magnet)	
079A		[1:161]
079B		[1:162]
079C		[1:163]
079D	playerEnteredDockCrane()	
079E	playerEnteredBuildingsiteCrane()	
079F	playerLeftCrane()	
07A0	performSequenceTaskFromProgress(Ped ped, int sequence, int unkProgress1, int unkProgress2)	
07A1	setNextDesiredMoveState(int speed)	
07A2		[1:164]
07A3	taskGotoCharAiming(Ped ped, int followActor, float minradius, float maxradius)	
07A4	int unkProgress1, int unkProgress2 = getSequenceProgressRecursive(Ped ped)	
07A5	taskKillCharOnFootTimed(Ped ped, int attackActor, int time)	
07A6	float X, float Y, float Z = getNearestTagPosition(float X, float Y, float Z)	
07A7	taskJetpack(Ped ped)	
07A8	setArea51SamSite(bool enable)	
07A9	bool result, Searchlight searchlight = isCharInAnySearchlight(Ped ped)	
07AA		[1:165]
07AB	bool result = isTrailerAttachedToCab(Vehicle trailer, Vehicle car)	
07AC	detachTrailerFromCab(Vehicle trailer, Vehicle cab)	
07AD		[1:166]
07AE		[1:167]
07AF	int group = getPlayerGroup(Player player)	
07B0	GxtString shop = getLoadedShop()	
07B1	int int2, int int3, int int4 = getBeatProximity(int track)	
07B2		[1:168]
07B3	setGroupDefaultTaskAllocator(int group, int command)	
07B4	setPlayerGroupRecruitment(Player player, bool enabled)	
07B5		[1:169]
07B6		[1:170]
07B7		[1:171]
07B8		[1:172]
07BA		[1:173]
07BB	activateHeliSpeedCheat(Vehicle heli, int power)	
07BC	taskSetCharDecisionMaker(Ped ped, int maker)	
07BD	deleteMissionTrain(Vehicle train)	
07BE	markMissionTrainAsNoLongerNeeded(Vehicle train)	
07BF	setBlipAlwaysDisplayOnZoomedRadar(Marker marker, bool displayAlways)	
07C0	requestCarRecording(int path)	
07C1	bool result = hasCarRecordingBeenLoaded(int path)	
07C2		[1:174]
07C3	float x, float y, float z, float w = getObjectQuaternion(Object object)	[4:1]
07C4	setObjectQuaternion(Object object, float x, float y, float z, float w)	[4:2]
07C5	float x, float y, float z, float w = getVehicleQuaternion(Vehicle car)	[4:3]
07C6	setVehicleQuaternion(Vehicle car, float x, float y, float z, float w)	[4:4]
07C7	setMissionTrainCoordinates(Vehicle train, float X, float Y, float Z)	
07C8		[1:175]
07C9	taskComplexPickupObject(Ped ped, Object object)	
07CA		[1:176]
07CB	listenToPlayerGroupCommands(Ped ped, bool listen)	
07CC	setPlayerEnterCarButton(Player player, bool can)	
07CD	taskCharSlideToCoord(Ped ped, float toX, float toY, float toZ, float angle, float withinRadius)	
07CE		[1:177]
07CF		[1:178]
07D0	int weekday = getCurrentDayOfWeek()	
07D1		[1:179]
07D2		[1:180]
07D3	registerScriptBrainForCodeUse(int id, GxtString gxtString)	
07D4		[1:181]
07D5	applyForceToCar(Vehicle car, float vecX, float vecY, float vecZ, float rotationX, float rotationY, float rotationZ)	
07D6		[3:28]
07D7		[3:29]
07DA	addToCarRotationVelocity(Vehicle car, float vecX, float vecY, float vecZ)	
07DB	setCarRotationVelocity(Vehicle car, float vecX, float vecY, float vecZ)	
07DC		[1:182]
07DD	setCharShootRate(Ped ped, int rate)	
07DE	bool result = isModelInCdimage(Model modelId)	
07DF	removeOilPuddlesInArea(float x1, float y1, float x2, float y2)	
07E0	setBlipAsFriendly(Marker marker, bool type)	
07E1	taskSwimToCoord(Ped ped, float toX, float toY, float toZ)	
07E2		[1:183]
07E3		[1:184]
07E4	float x1, float y1, float z1, float x2, float y2, float z2 = getModelDimensions(Model modelId)	
07E5	int maker = copyCharDecisionMaker(Ped ped)	
07E6	int maker = copyGroupDecisionMaker(int group)	
07E7	taskDrivePointRouteAdvanced(Ped ped, Vehicle car, float speed, int flag1, int flag2, int flag3)	
07E8	bool result = isRelationshipSet(int acquaintance, int ofActors, int toActors)	
07E9		[1:185]
07EA		[1:186]
07EB		[1:187]
07EC		[1:188]
07ED		[1:189]
07EE	setCarAlwaysCreateSkids(Vehicle car, bool enable)	
07EF	int city = getCityFromCoords(float X, float Y, float Z)	
07F0	bool result = hasObjectOfTypeBeenSmashed(float X, float Y, float Z, float radius, Model modelId)	
07F1	bool result = isPlayerPerformingWheelie(Player player)	
07F2	bool result = isPlayerPerformingStoppie(Player player)	
07F3	setCheckpointCoords(Checkpoint checkpoint, float X, float Y, float Z)	
07F4		[1:190]
07F5	controlCarHydraulics(Vehicle car, float f1, float f2, float f3, float f4)	
07F6	int numberOfLeaders, int numberOfMembers = getGroupSize(int group)	
07F7	setObjectCollisionDamageEffect(Object object, bool destructible)	
07F8	setCarFollowCar(Vehicle car, int followCar, float radius)	
07F9	playerEnteredQuarryCrane()	
07FA	playerEnteredLasVegasCrane()	
07FB	switchEntryExit(GxtString interior, bool access)	
07FC	displayTextWithFloat(float X, float Y, GxtString GXT, float value, int flag)	
07FD	bool result = doesGroupExist(int group)	
07FE	giveMeleeAttackToChar(Ped ped, int fightingStyle, int moves)	
07FF	setCarHydraulics(Vehicle car, bool hydraulics)	
0800	bool result = is2playerGameGoingOn()	
0801	float fov = getCameraFov()	
0803	bool result = doesCarHaveHydraulics(Vehicle car)	
0804	taskCharSlideToCoordAndPlayAnim(Ped ped, float toX, float toY, float toZ, float angle, float radius, string animation, int ifp1, float ifp2, bool LA, bool LX, bool LY, bool LF, int LT)	
0805		[1:191]
0806	int number = getTotalNumberOfPedsKilledByPlayer(Player player)	
0807		[1:192]
0808		[1:193]
0809		[1:194]
080A	float X, float Y, float Z = getLevelDesignCoordsForObject(Object object, int spoot)	
080B		[1:195]
080C		[1:196]
080D		[1:197]
080E	int event = getCharHighestPriorityEvent(Ped ped)	
080F		[1:198]
0810	float X, float Y, float Z = getParkingNodeInArea(float x1, float y1, float z1, float x2, float y2, float z2)	
0811	Vehicle car = getCarCharIsUsing(Ped ped)	
0812	taskPlayAnimNonInterruptable(Ped ped, string animation, string IFP, float framedelta, bool loopA, bool lockX, bool lockY, bool lockF, int time)	
0813		[1:199]
0814	addStuntJump(float startX, float startY, float startZ, float radiusX, float radiusY, float radiusZ, float goalX, float goalY, float goalZ, float radius2X, float radius2Y, float radius2Z, float cameraX, float cameraY, float cameraZ, int reward)	
0815	setObjectCoordinatesAndVelocity(Object object, float X, float Y, float Z)	
0816	setCharKindaStayInSamePlace(Ped ped, bool stay)	
0817	taskFollowPatrolRoute(Ped ped, int walkMode, int routeMode)	
0818	bool result = isCharInAir(Ped ped)	
0819	float height = getCharHeightAboveGround(Ped ped)	
081A	setCharWeaponSkill(Ped ped, int skill)	
081B		[1:200]
081C	setTextEdge(int size, int r, int g, int b, int a)	
081D	setCarEngineBroken(Vehicle car, bool broken)	
081E	bool result = isThisModelABoat(Model modelId)	
081F	bool result = isThisModelAPlane(Model modelId)	
0820	bool result = isThisModelAHeli(Model modelId)	
0821		[1:201]
0822	setFirstPersonInCarCameraMode(bool enable)	
0823	taskGreetPartner(Ped ped, Ped ped2, float unk1, int unk2)	
0824		[1:202]
0825	setHeliBladesFullSpeed(Vehicle heli)	
0826	displayHud(bool enable)	
0827	connectLods(Object object, int lod)	
0828	setMaxFireGenerations(int max)	
0829	taskDieNamedAnim(Ped ped, string animation, string ifp1, float ifp2, int time)	
082A	setPlayerDuckButton(Player player, bool able)	
0830	setPoolTableCoords(float x1, float y1, float z1, float x2, float y2, float z2)	
0831		[1:203]
0832		[1:204]
0833	bool result = hasObjectBeenPhotographed(Object object)	
0834	doCameraBump(float rotationZ, float rotationY)	
0835	int day, int month = getCurrentDate()	
0836	setObjectAnimSpeed(Object object, string animation, float speed)	
0837	bool result = isObjectPlayingAnim(Object object, string anim)	
0838		[1:205]
0839	float progress = getObjectAnimCurrentTime(Object object, string animation)	
083A	setObjectAnimCurrentTime(Object object, string animation, float progress)	
083B		[1:206]
083C	setCharVelocity(Ped ped, float vecX, float vecY, float vecZ)	
083D	float vecX, float vecY, float vecZ = getCharVelocity(Ped ped)	
083E	setCharRotation(Ped ped, float vecX, float vecY, float vecZ)	
083F	float value = getCarUprightValue(Vehicle car)	
0840	setVehicleInterior(Vehicle car, int interior)	
0841	selectWeaponsForVehicle(Vehicle car, bool gun)	
0842	int city = getCityPlayerIsIn(Player player)	
0843	GxtString name = getNameOfZone(float X, float Y, float Z)	
0844		[3:30]
0845		[3:31]
0846		[3:32]
0847		[3:33]
0848		[1:207]
0849		[1:208]
084A		[1:209]
084B		[1:210]
084C		[1:211]
084D	activateInteriorPeds(bool activate)	
084E	setVehicleCanBeTargetted(Vehicle car, bool unk)	
084F		[1:212]
0850	taskFollowFootsteps(Ped ped, int followActor)	
0851	damageChar(Ped ped, int health, bool affectArmour)	
0852	setCarCanBeVisiblyDamaged(Vehicle car, bool can)	
0853	setHeliReachedTargetDistance(Vehicle heli, int dist)	
0855	float level = getSoundLevelAtCoords(Ped ped, float X, float Y, float Z)	
0856	setCharAllowedToDuck(Ped ped, bool enable)	
0857		[1:213]
0858	setHeadingForAttachedPlayer(Player player, float toAngle, float rotationSpeed)	
0859	taskWalkAlongsideChar(Ped ped, int alongisdeActor)	
085A	createEmergencyServicesCar(Model car, float X, float Y, float Z)	
085B	taskKindaStayInSamePlace(Ped ped, bool stay)	
085C		[1:214]
085D		[1:215]
085E	startPlaybackRecordedCarLooped(Vehicle car, int path)	
085F		[1:216]
0860	setCharInterior(Ped ped, int interior)	
0861	bool result = isAttachedPlayerHeadingAchieved(Player player)	
0862		[1:217]
0863		[1:218]
0864	enableEntryExitPlayerGroupWarping(float X, float Y, float radius, bool access)	
0866	Object object = getClosestStealableObject(float X, float Y, float Z, float radius)	
0867	bool result = isProceduralInteriorActive(int interior)	
0868		[1:219]
0869		[1:220]
086A		[1:221]
086B		[1:222]
086C		[1:223]
086D		[1:224]
086E		[1:225]
086F		[1:226]
0870		[1:227]
0871		[3:34]
0872		[3:35]
0873	removeCarRecording(int path)	
0874	setZonePopulationRace(GxtString zone, int popcycle)	
0875	setObjectOnlyDamagedByPlayer(Object object, bool player)	
0876	createBirds(float x1, float y1, float z1, float x2, float y2, float z2, int flag1, int flag2)	
0877		[1:228]
0878	setVehicleDirtLevel(Vehicle car, float level)	
0879	setGangWarsActive(bool enable)	
087A	bool result = isGangWarGoingOn()	
087B	givePlayerClothesOutsideShop(Player player, string clothes, string model, int bodyPart)	
087C	clearLoadedShop()	
087D	setGroupSequence(int group, int Aspack)	
087E	setCharDropsWeaponsWhenDead(Ped ped, bool droppable)	
087F	setCharNeverLeavesGroup(Ped ped, bool set)	
0880		[1:229]
0881	setPlayerFireButton(Player player, bool able)	
0882		[1:230]
0883	attachFxSystemToCharBone(Particle particle, Ped ped, int mode)	
0884	registerAttractorScriptBrainForCodeUse(int handle, GxtString script)	
0885		[1:231]
0886		[1:232]
0887	setHeadingLimitForAttachedChar(Ped ped, int orientation, float limit)	
0888	Marker blip = addBlipForDeadChar(Ped ped)	
0889	float X, float Y, float Z = getDeadCharCoordinates(Ped ped)	
088A	taskPlayAnimWithFlags(Ped ped, string animation, string ifp, float framedelta, bool loopA, bool lockX, bool lockY, bool lockF, int time, bool force, bool lockZ)	
088B	setVehicleAirResistanceMultiplier(Vehicle car, float multiplier)	
088C	setCarCoordinatesNoOffset(Vehicle car, float X, float Y, float Z)	
088D	setUsesCollisionOfClosestObjectOfType(float X, float Y, float Z, float radius, Model modelId, bool collisionDetection)	
088E	setTimeOneDayForward()	
088F		[1:233]
0890	setTimerBeepCountdownTime(VarId timer, int reach)	
0891		[1:234]
0892		[1:235]
0893	attachTrailerToCab(int trailer, int cab)	
0894		[1:236]
0895		[1:237]
0896		[1:238]
0897	bool result = isVehicleTouchingObject(Vehicle car, Object object)	
0898	enableCraneControls(bool UP, bool DOWN, bool RELEASE)	
0899		[1:239]
089A		[1:240]
089B	bool result = isPlayerInPositionForConversation(Ped ped)	
089C	enableConversation(Ped ped, bool enable)	
089D		[1:241]
089E	Ped ped = getRandomCharInSphereOnlyDrugsBuyers(float X, float Y, float Z, float radius)	
089F	int pedtype = getPedType(Ped ped)	
08A0	bool result = taskUseClosestMapAttractor(Ped ped, float radius, Model nearModel, float offsetX, float offsetY, float offsetZ, string scriptNamed)	
08A1		[1:242]
08A2	planeAttackPlayerUsingDogFight(int hydra, Player player, float radius)	
08A3	canTriggerGangWarWhenOnAMission(bool can)	
08A4	controlMovableVehiclePart(Vehicle car, float angle)	
08A5	winchCanPickVehicleUp(Vehicle car, bool attractive)	
08A6	openCarDoorABit(Vehicle car, int door, float rotation)	
08A7	bool result = isCarDoorFullyOpen(Vehicle car, int door)	
08A8	setAlwaysDraw3dMarkers(bool set)	
08A9	streamScript(int script)	
08AA		[1:243]
08AB	bool result = hasStreamedScriptLoaded(int script)	
08AC	setGangWarsTrainingMission(bool set)	
08AD	setCharHasUsedEntryExit(Ped ped, float X, float Y, float radius)	
08AE		[1:244]
08AF	setCharMaxHealth(Ped ped, int health)	
08B0		[1:245]
08B1	setNightVision(bool enable)	
08B2	setInfraredVision(bool enable)	
08B3	setZoneForGangWarsTraining(GxtString zone)	
08B4		[3:36]
08B5		[3:37]
08B6		[3:38]
08B7		[3:39]
08B8		[3:40]
08B9		[3:41]
08BA		[3:42]
08BB		[3:43]
08BC		[3:44]
08BD		[3:45]
08BE		[3:46]
08BF		[3:47]
08C0		[3:48]
08C1		[3:49]
08C2		[3:50]
08C3		[3:51]
08C4		[3:52]
08C5		[3:53]
08C6	setCharCanBeKnockedOffBike(Ped ped, bool can)	
08C7	setCharCoordinatesDontWarpGang(Ped ped, float X, float Y, float Z)	
08C8	addPriceModifier(int item, int price)	
08C9	removePriceModifier(int item)	
08CA	initZonePopulationSettings()	
08CB	explodeCarInCutsceneShakeAndBits(Vehicle car, bool shake, bool effect, bool sound)	
08CC		[1:246]
08CD		[1:247]
08CE		[1:248]
08CF		[1:249]
08D0	bool result = isSkipCutsceneButtonPressed()	
08D1	bool result, float X, float Y, float Z = getCutsceneOffset()	
08D2	setObjectScale(Object object, float scale)	
08D3	int popcycle = getCurrentPopulationZoneType()	
08D4	int menu = createMenu(GxtString title, float posX, float posY, float width, int columns, bool interactive, bool background, int alignment)	
08D5		[1:250]
08D6	setMenuColumnOrientation(int menu, int column, int alignment)	
08D7	int item = getMenuItemSelected(int menu)	
08D8	int item = getMenuItemAccepted(int menu)	
08D9	activateMenuItem(int menu, int row, bool enable)	
08DA	deleteMenu(int menu)	
08DB	setMenuColumn(int menu, int column, GxtString header, GxtString data1, GxtString data2, GxtString data3, GxtString data4, GxtString data5, GxtString data6, GxtString data7, GxtString data8, GxtString data9, GxtString data10, GxtString data11, GxtString data12)	
08DC	setBlipEntryExit(Marker marker, float X, float Y, float radius)	
08DD	switchDeathPenalties(bool lose)	
08DE	switchArrestPenalties(bool lose)	
08DF	setExtraHospitalRestartPoint(float X, float Y, float Z, float radius, float angle)	
08E0	setExtraPoliceStationRestartPoint(float X, float Y, float Z, float radius, float angle)	
08E1	int num = findNumberTagsTagged()	
08E2	int percentage = getTerritoryUnderControlPercentage()	
08E3	bool result = isObjectInAngledArea2d(Object object, float x1, float y1, float x2, float y2, float radius, bool sphere)	
